Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm,
Annual Q10 of soil respiration reflects plant phenological patterns as well as temperature sensitivity,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.2003.00727.x,"… phenological patterns in the so-called temperature sensitivity of SR. If we can use the phenology 
… seasonal Q 10 is probably affected by both root phenology and temperature sensitivity. …","J Curiel Yuste, IA Janssens, A Carrara…",Global Change …,2004,583,roots AND phenology,
Interspecific variation in plant responses to mycorrhizal colonization in tallgrass prairie,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2446507,"… In tallgrass prairie, host-plant mycorrhizal dependence, phenology, and root morphology … 
indicate that warm- and cool-season phenology appears to be a critical factor in determining …","GWT Wilson, DC Hartnett",American journal of botany,1998,544,roots AND phenology,
"Autumn, the neglected season in climate change research",https://www.cell.com/trends/ecology-evolution/abstract/S0169-5347(15)00006-3,"… The lack of data regarding the partitioning of above-ground, root, and soil microbial 
phenological responses to climate change remains a large limitation in our understanding of, and …","AS Gallinat, RB Primack, DL Wagner",Trends in ecology & evolution,2015,542,roots AND phenology,
A parameterization of leaf phenology for the terrestrial ecosystem component of climate models,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2004.00890.x,"… Allocation of carbon to leaves, stem, and root components in CTEM is closely tied to 
phenology. CTEM dynamically performs allocation on the basis of the light, water, and …","VK Arora, GJ Boer",Global Change Biology,2005,458,roots AND phenology,
Predicted responses of arctic and alpine ecosystems to altered seasonality under climate change,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.12568,"… - and belowground phenological cues can be separated temporally (Fig. 2a, c–e) (Chapin 
& Shaver, 1985; Shaver & Kummerow, 1992; Pop et al., 2000). Release from belowground …","JG Ernakovich, KA Hopping, AB Berdanier…",Global Change …,2014,448,belowground AND phenology,
"Rhizosphere effects on decomposition: controls of plant species, phenology, and fertilization",https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj2003.1418,"… Plant phenology significantly influenced the rhizosphere priming effect. … root-derived CO 2 
, including root respiration and microbial respiration utilizing materials released from live roots …","W Cheng, DW Johnson, S Fu",Soil Science Society of America …,2003,410,roots AND phenology,
"Fine root growth phenology, production, and turnover in a northern hardwood forest ecosystem",https://link.springer.com/article/10.1007/BF01416099,"… Because the phenology-based method required an accurate assessment of the phenology 
of … Harris WF, Kinerson RS and Edwards NT 1977 Comparison of belowground biomass of …","MK Burke, DJ Raynal",Plant and soil,1994,395,belowground AND phenology,
Leaf phenology in 22 North American tree species during the 21st century,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2008.01735.x,"… Recent shifts in phenology are the best documented biological response to current … records 
of phenological events. To advance our understanding of phenological responses to climate …","X Morin, MJ Lechowicz, C Augspurger…",Global Change …,2009,390,roots AND phenology,
Below‐ground carbon input to soil is controlled by nutrient availability and fine root dynamics in loblolly pine,https://nph.onlinelibrary.wiley.com/doi/abs/10.1046/j.1469-8137.2002.00393.x,"… heat sum) and therefore above- and below-ground growth should be synchronized. As 
foliage … availability on above- and below-ground production and phenology, we monitored the …","JS King, TJ Albaugh, HL Allen, M Buford…",New …,2002,388,belowground AND phenology,
A global Fine‐Root Ecology Database to address below‐ground challenges in plant ecology,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.14486,"… FRED represents a critical step toward improving our understanding of below-ground plant 
ecology. For example, FRED facilitates the quantification of variation in fine-root traits across …","CM Iversen, ML McCormack, AS Powell…",New …,2017,352,belowground AND phenology,
Plant phenology: a critical controller of soil resource acquisition,https://academic.oup.com/jxb/article-abstract/60/7/1927/679231,"… of phenology that increases total transpiration should increase, while changes in phenology 
… approximately proportional to root length duration, thus changes in phenology that increase …","EA Nord, JP Lynch",Journal of experimental botany,2009,350,roots AND phenology,
The unseen iceberg: plant roots in arctic tundra,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.13003,"… Minirhizotrons have provided invaluable information on the production, phenology and 
turnover of fine-root populations in tundra ecosystems. However, excavated soil monoliths, where …","CM Iversen, VL Sloan, PF Sullivan…",New …,2015,347,roots AND phenology,
A two-step filtering approach for detecting maize and soybean phenology with time-series MODIS data,https://www.sciencedirect.com/science/article/pii/S003442571000132X,"… The root mean square error (RMSE) of phenological-stage estimation for maize ranged 
from 2.9 [R1] to 7.0 [R5] days and from 3.2 [R6] to 6.9 [R7] days for soybean, respectively. In …","T Sakamoto, BD Wardlow, AA Gitelson…",Remote Sensing of …,2010,346,roots AND phenology,
The roots and mycorrhizas of herbaceous woodland plants: I. Quantitative aspects of morphology,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1990.tb00414.x,"… coarse root systems with extensive mycorrhizal colonization, but their phenology and root … 
For each of these species (i) root growth, (ii) the average distance from growing root apices …","M Brundrett, B Kendrick",New Phytologist,1990,331,roots AND phenology,
Impact of water deficit stress in maize: Phenology and yield components,https://www.nature.com/articles/s41598-020-59689-7,"… stress responsive traits, loss of normal root architecture which overall lead to a reduction in 
GY/… , leaf senescence, pollen stainability, root fresh weight and root length. These traits would …","RP Sah, M Chakraborty, K Prasad, M Pandit…",Scientific reports,2020,324,roots AND phenology,
Understanding and modeling the effect of temperature and daylength on soybean phenology under high-yield conditions,https://www.sciencedirect.com/science/article/pii/S0378429006001560,"… Merr) phenology because they serve as surrogates for … We developed a soybean phenology 
model (SOYDEV) which … , root mean square errors (RMSE) of major phenological stages …","TD Setiyono, A Weiss, J Specht, AM Bastidas…",Field crops …,2007,321,roots AND phenology,
"The mycorrhizal status, root anatomy, and phenology of plants in a sugar maple forest",https://cdnsciencepub.com/doi/abs/10.1139/b88-166,"… of this species followed root phenology closely, most roots becoming well colonized by early 
summer, and declined with root activity later in the summer (Fig. 28). Roots of this species …","MC Brundrett, B Kendrick",Canadian Journal of Botany,1988,312,roots AND phenology,DOWN
Empirical and theoretical challenges in aboveground–belowground ecology,https://link.springer.com/article/10.1007/s00442-009-1351-8,"… belowground than aboveground. Our current challenge is to understand how 
aboveground–belowground … We review four key areas where a combined aboveground–belowground …","WH Van Der Putten, RD Bardgett, PC de Ruiter…",Oecologia,2009,299,belowground AND phenology,
Temperate and boreal forest tree phenology: from organ-scale processes to terrestrial ecosystem models,https://link.springer.com/article/10.1007/s13595-015-0477-6,"… We demonstrate that, beyond leaf phenology, the phenological cycles of wood and fine 
roots present clear responses to environmental drivers in temperate and boreal trees. These …","N Delpierre, Y Vitasse, I Chuine, J Guillemot…",Annals of Forest …,2016,295,roots AND phenology,
"Structure and primary productivty of Lamto savannas, Ivory Coast",https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1936967,"… Biomass cycle of six characteristic herbs to illustrate the different types of phenological cycle. 
… is thus ensured and a large part of productivity occurs belowground. Phenological cycle …","JC Menaut, J Cesar",Ecology,1979,286,belowground AND phenology,
Predicting crop phenology,https://books.google.com/books?hl=fr&lr=&id=a0QEv_z9scMC&oi=fnd&pg=PA1&dq=roots+AND+phenology&ots=WDtEjgGft5&sig=Rgmj2AEjb9TUpcdw2y_YY5Y4ckY,"… vernalization) and the types of phenological response are discussed, as is water stress. 
Plant phenological responses include vernalization and leaf, stem, root, and tiller development. …",T Hodges - 1990 - books.google.com,,,285,roots AND phenology,
Niche differences in phenology and rooting depth promote coexistence with a dominant C4 bunchgrass,https://link.springer.com/article/10.1007/s00442-005-0010-y,"… similar phenology and rooting depth, but coexisted with species differing in phenology and 
… scoparium abundance, species with mid-season phenology and shallow roots would be …","J Fargione, D Tilman",Oecologia,2005,276,roots AND phenology,
The mechanisms of phenology: the patterns and processes of phenological shifts,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecm.1337,"… phenological shifts in order to understand the cue–response mechanisms that underlie 
phenological … basis for nine factors proposed to predict phenological change (latitude, elevation, …","HE Chmura, HM Kharouba, J Ashander…",Ecological …,2019,263,roots AND phenology,
Emerging paradigms of tree phenology in dry tropics,https://www.jstor.org/stable/24110749,"… The seasonal variation in SWS of trees forms a causal link between seasonality and 
phenology. SWS depends on the balance between water absorption by roots and transpiration …","KP Singh, CP Kushwaha",Current Science,2005,259,roots AND phenology,
"Quinoa-morphology, phenology and prospects for its production as a new crop in Europe",https://www.sciencedirect.com/science/article/pii/S1161030114801482,"… between 14 and 18 em, and Gandarillas (1979c) mentioned that the root depth could be up 
to 30 em. These root lengths refer to the main root, while the minor roots were not measured. …","SE Jacobsen, O Stølen",European Journal of Agronomy,1993,257,roots AND phenology,
Phenology and ecophysiology of tropical trees: Erythrina poeppigiana OF Cook,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1936825,"… B, phenological observations consisted of biweekly scoring 15-25 randomly chosen trees. For 
each observation date, means and standard errors were calculated for phenological … roots, …",R Borchert,Ecology,1980,248,roots AND phenology,
The phenology and growth of water hyacinth (Eichhornia crassipes (Mart.) Solms) in a eutrophic north-central Florida lake,https://www.sciencedirect.com/science/article/pii/0304377081900024,"… ous unbranched side roots. Weber (1950) examined the roots on one average-sized plant 
and found the total linear length of the 158 adventitious roots and all lateral roots to be 11 481 …","TD Center, NR Spencer",Aquatic Botany,1981,248,roots AND phenology,
Effects of interannual climate variation on phenology and growth of two alpine forbs,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1940916,"… Key phenological events of … in phenology related to changes in snowfall of snowmelt will 
cause detectable changes in growth, but that these will not be predicted simply from phenology …","MD Walker, RC Ingersoll, PJ Webber",Ecology,1995,246,belowground AND phenology,
"Reproductive phenology of the Mediterranean seagrasses Posidonia oceanica (L.) Delile, Cymodocea nodosa (Ucria) Aschers., and Zostera noltii Hornem.",https://www.sciencedirect.com/science/article/pii/030437709190080O,"… light and temperature conditions, and the phenological features of seedlings were measured 
(… , number of roots per shoot, length of roots). Differences in leaf phenology of the seedlings …","MC Buia, L Mazzella",Aquatic Botany,1991,234,roots AND phenology,
How phenology influences physiology in deciduous forest spring ephemerals,https://onlinelibrary.wiley.com/doi/abs/10.1034/j.1399-3054.2001.1130201.x,"… roots then grow slowly over autumn and winter. The goal of this paper is to show how this 
characteristic phenology … Nutrients are mainly absorbed in spring, although the root system is …",L Lapointe,Physiologia plantarum,2001,231,roots AND phenology,
Estimation and evaluation of winter wheat phenology in the central Great Plains,https://www.sciencedirect.com/science/article/pii/0168192388900020,"Crop modeling and management requires accurate prediction of crop phenology. Phenology 
data for winter wheat (Triticum aestivum L.) were collected from seven sites in the central …","GS McMaster, DE Smika",Agricultural and Forest Meteorology,1988,227,roots AND phenology,
"Quantitative effects of soil nitrate, growth potential and phenology on symbiotic nitrogen fixation of pea (Pisum sativum L.)",https://link.springer.com/article/10.1023/A:1019966207970,"… The influence of soil nitrate availability, crop growth rate and phenology on the activity of … 
both SNF and nitrate root absorption but, of the two sources, nitrate root absorption seemed to …","AS Voisin, C Salon, NG Munier","Jolain, B Ney - Plant and soil",2002,217,roots AND phenology,
Water stress and phenology in wheat,https://www.publish.csiro.au/cp/AR9770177,"… to examine the soil and root systems of these stressed plants. The root systems had proliferated 
at the depth of the wetting fronts, but were otherwise sparse, Soil in the root zone had a …","JF Angus, MW Moncur",Australian Journal of Agricultural …,1977,216,roots AND phenology,
Plant phenology changes and drivers on the Qinghai–Tibetan Plateau,https://www.nature.com/articles/s43017-022-00317-5,"… temporal changes in the timings of phenological events on the QTP (Supplementary Table 
1). The environmental drivers and mechanisms of these phenological shifts, and the resulting …","M Shen, S Wang, N Jiang, J Sun, R Cao…",Nature Reviews Earth & …,2022,215,roots AND phenology,
Multiple risk factors in root survivorship: a 4-year study in Concord grape,https://www.jstor.org/stable/1514109,"… in a period 15 d before to 30 d after bloom, corresponding with our phenology categories 
1 and 2. By 75 d after bloom, starch levels were three to six times higher. Therefore, …","LJ Anderson, LH Comas, AN Lakso, DM Eissenstat",New phytologist,2003,209,roots AND phenology,
The ecology and significance of below-ground bud banks in plants,https://academic.oup.com/aob/article-abstract/123/7/1099/5511692,"Background Below-ground bud banks have experienced much recent interest due to 
discoveries that they (1) account for the majority of seasonal population renewal in many …","JP Ott, J Klimešová, DC Hartnett",Annals of botany,2019,208,belowground AND phenology,
Phenology and dynamics of root growth of three cool semi-desert shrubs under field conditions,https://www.jstor.org/stable/2258746,"… environment was the fact that the progress of phenological events of plants whose roots 
were adjacent to … Belowground productivity of two cool desert commun Oecologia, 17, 123-30. …","OA Fernandez, MM Caldwell",The Journal of Ecology,1975,206,belowground AND phenology,
Reverse phenology and dry‐season water uptake by Faidherbia albida (Del.) A. Chev. in an agroforestry parkland of Sudanese west Africa,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2435.1999.00345.x,"… Roots of F. albida were distributed through the weathered rock, down to a depth of 7 m, 
and … Reverse phenology, low density and depth of water uptake of F. albida indicated a low …","O Roupsard, A Ferhi, A Granier, F Pallo…",Functional …,1999,204,roots AND phenology,
An integrated phenology modelling framework in r,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12970,"… phenology models for three plant functional types. An analysis of model skill using the root 
… In conclusion, we hope the phenor phenology modelling framework in the r language and …","K Hufkens, D Basler, T Milliman…",Methods in Ecology …,2018,201,roots AND phenology,
"Impacts of multiple extreme winter warming events on sub‐Arctic heathland: phenology, reproduction, growth, and CO2 flux responses",https://onlinelibrary.wiley.com/doi/abs/10.1111/J.1365-2486.2011.02424.X,"… , plant phenology, shoot and root … phenology would be delayed (as reported previously 
after the first event) and due to the extensive shoot damage, community shifts will occur, (2) root …","S Bokhorst, JW Bjerke, LE Street…",Global Change …,2011,198,roots AND phenology,
"Variability in root production, phenology, and turnover rate among 12 temperate tree species",https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/13-1942.1,"… As such, this remains a wide-open area for future research to better understand climatic 
drivers of fine root phenology and subsequent impacts on belowground resource capture and …","ML McCormack, TS Adams, EAH Smithwick…",Ecology,2014,198,belowground AND phenology,
A prognostic phenology scheme for global terrestrial carbon cycle models,https://www.int-res.com/abstracts/cr/v06/n1/p1-19/,"… This seems to be related to the fact that belowground biomass is not explicitly considered 
in the model. The results of a simulation of the seasonal cycle of atmospheric CO2 …","J Kaduk, M Heimann",Climate Research,1996,195,belowground AND phenology,
"The phenology, growth and ecosystem dynamics of Erythronium americanum in the northern hardwood forest",https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/2937357,"… between plant parts until fall root growth commenced. Shoot growth during the winter period 
is of particular importance in the early phenological development of Erythronium. Shoots …",RN Muller,Ecological Monographs,1978,193,roots AND phenology,
Below‐ground bud banks increase along a precipitation gradient of the North American Great Plains: a test of the meristem limitation hypothesis,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2006.01739.x,"… two major plant growth forms differed in the size of their below-ground meristem pool, and 
in the phenology of below-ground bud production. Additionally, the patterns and magnitude of …","HJ Dalgleish, DC Hartnett",New Phytologist,2006,190,belowground AND phenology,
Seasonal environmental variation and plant phenology in arid Patagonia (Argentina),https://www.sciencedirect.com/science/article/pii/S0140196318307225,"… Thirteen phenological phases were … ' root system was also measured. Two groups of 
species were identified based on the timing of the phenological events and the depth of the root …","MB Bertiller, AM Beeskow, F Coronato",Journal of Arid Environments,1991,189,roots AND phenology,
Overestimation of net root production: a real or imaginary problem?,https://www.jstor.org/stable/1938601,"… by researchers to identify root growth patterns initially, information on root phenology should 
be used to design root sampling protocols to … Ideally, root biomass data should be collected …","KA Vogt, CC Grier, ST Gower, DG Sprugel, DJ Vogt",Ecology,1986,189,roots AND phenology,
Some limitations inherent to static indices of plant competition,https://cdnsciencepub.com/doi/abs/10.1139/x93-267,"… differences in above- and below-ground allocation, will alter the mode and intensity of 
competition within a stand and from year to year. The phenology of competitors and focal species …",PJ Burton,Canadian Journal of Forest Research,1993,188,belowground AND phenology,
Phenology of sesame,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=45cb848d8e432e227f66ed3757057d471d9afba3,"… That phenology reflects what is actually happening within the plant, while the phenology in 
the … has been done on sesame roots, but they are very important to the phenology. Generally, …",DR Langham,Issues in new crops and new uses,2007,174,roots AND phenology,
"Mycorrhizal infection, phosphorus uptake, and phenology in Ranunculus adoneus: implications for the functioning of mycorrhizae in alpine systems",https://link.springer.com/article/10.1007/BF00341321,"… Phosphorus levels, phenology of roots and shoots, and … phosphorus uptake relates to the 
phenology of R. adoneus and … phosphorus accumulation in both the roots and shoots of R. …","RB Mullen, SK Schmidt",Oecologia,1993,172,roots AND phenology,
"Phenology, resource allocation, and growth of arctic vascular plants",https://books.google.com/books?hl=fr&lr=&id=nVSDRA2biLkC&oi=fnd&pg=PA193&dq=roots+AND+phenology&ots=uuLQz96dhv&sig=gshqvZTN7158VroM8jx1KJsV1lI,"… In this chapter we will describe some of the major patterns of plant growth and their controls 
in the Arctic, focusing on vegetative and reproductive phenology, biomass allocation, and …","GR Shaver, J Kummerow",Arctic ecosystems in a changing …,1992,163,roots AND phenology,
Soil respiration in perennial grass and shrub ecosystems: Linking environmental controls with plant and microbial sources on seasonal and diel timescales,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2007JG000611,"… of soil respiration, aboveground physiology, below-ground phenology, and allocation studies 
in order to better quantify these vegetation controls on soil respiration rates and sources. …","MS Carbone, GC Winston…",Journal of Geophysical …,2008,157,belowground AND phenology,
Phenological pattern of fifteen Mediterranean phanaerophytes from shape Quercus ilex communities of NE-Spain,https://link.springer.com/article/10.1023/A:1009759318927,"… root systems and to colonise earlier stages of succession. Intraspecific variability of phenology 
was … , which is a phylogenetic trait, may exert important constraints on plant phenology. …","CD Pilar, MM Gabriel",Plant Ecology,1998,156,roots AND phenology,
"Relationships of mycorrhizal symbiosis, rooting strategy, and phenology among tallgrass prairie forbs",https://cdnsciencepub.com/doi/abs/10.1139/b92-191,"… dependence, root morphology, and phenology in descending order … , were based largely on 
root fibrousness. A regression … we hypothesized that phenology and root morphology would …","BAD Hetrick, GWT Wilson…",Canadian Journal of …,1992,152,roots AND phenology,
"A severe drought: impact on tree growth, phenology, net photosynthetic rate and water relations",https://www.jstor.org/stable/2424658,"… 1976 and white oak root growth (both number and length of individual roots) was measured 
… each soil depth concurrently with root growth measurements. Phenological data on bud burst…","TM Hinckley, PM Dougherty, JP Lassoie…",American Midland …,1979,151,roots AND phenology,
Factors controlling the timing of root elongation intensity in a mature upland oak stand,https://link.springer.com/article/10.1023/A:1004866705021,"… of phenology in controlling REI, we refer to the concept of ‘phenological programming’. This 
concept contrasts with more environmentally determinant explanations of the timing of root …","JD Joslin, MH Wolfe, PJ Hanson",Plant and Soil,2001,150,roots AND phenology,
Relation between oak tree phenology and the secretion of organic matter degrading enzymes by Lactarius quietus ectomycorrhizas before and during bud break,https://www.sciencedirect.com/science/article/pii/S0038071707000417,"… Root and stem growth, beginning before bud break in oak, are strong carbon sinks partially 
fulfilled … Phenological, climatic and pedoclimatic parameters were also measured. Laccase, …","PE Courty, N Bréda, J Garbaye",Soil biology and Biochemistry,2007,147,roots AND phenology,
The hidden season: growing season is 50% longer below than above ground along an arctic elevation gradient,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.13655,"… Thus, we asked whether shoot phenology reflects or differs from fine root phenology, if the 
growing season is similar in length and timing above and below ground across arctic plant …","G Blume‐Werry, SD Wilson, J Kreyling…",New …,2016,147,roots AND phenology,
Diurnal and seasonal variability of soil CO2 efflux in a cropland ecosystem on the Tibetan Plateau,https://www.sciencedirect.com/science/article/pii/S0168192306000633,"… Taking account of the influence of crop phenology, a … phenology modifies the temperature 
dependence of soil CO 2 efflux in different growing periods. Our results also indicate that root …","PL Shi, XZ Zhang, ZM Zhong, H Ouyang",Agricultural and Forest …,2006,145,roots AND phenology,
Symbiotic N2 fixation activity in relation to C economy of Pisum sativum L. as a function of plant phenology,https://academic.oup.com/jxb/article-abstract/54/393/2733/503865,"… the roots was obtained by injecting 15 N 2 , the amount depending on the phenological stage: 
2 … These 15 N enrichments of the root atmosphere were calculated prior to the experiment …","AS Voisin, C Salon, C Jeudy…",Journal of experimental …,2003,143,roots AND phenology,
A hybrid approach for detecting corn and soybean phenology with time-series MODIS data,https://www.sciencedirect.com/science/article/pii/S0034425716301432,"… estimated phenology dates were compared to the ground-based phenology observations 
for both corn and soybeans. The average root mean square error (RMSE) of phenology stage …","L Zeng, BD Wardlow, R Wang, J Shan…",Remote Sensing of …,2016,143,roots AND phenology,
Seasonal dynamics of non-structural carbohydrates in two species of Mediterranean sub-shrubs with different leaf phenology,https://www.sciencedirect.com/science/article/pii/S0098847205001644,"… The smaller size and shallower root systems of mediterranean sub-shrubs, together with the 
… different leaf phenology. Main stems, coarse roots and the transition zone between root and …","S Palacio, M Maestro, G Montserrat",Martí - … and Experimental Botany,2007,141,roots AND phenology,
Diel patterns of autotrophic and heterotrophic respiration among phenological stages,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.12108,"… If recent photosynthate is the primary source of carbohydrates for R a and possibly also for 
R h through root exudates, then temporal variation in R t may be linked to plant phenological …","K Savage, EA Davidson, J Tang",Global Change Biology,2013,139,roots AND phenology,
Seasonal changes of tissue-water relations in shoots and root systems of Douglas-fir seedlings,https://academic.oup.com/forestscience/article-abstract/30/2/538/4656952,"… They were severed at the root collar and pressurevolume (PV) analyses were carried out 
simultaneously on the leafy shoot and the root system. Phenological observations were …","GA Ritchie, RG Shula",Forest Science,1984,139,roots AND phenology,
Improving the representation of roots in terrestrial models,https://www.sciencedirect.com/science/article/pii/S0304380014003603,"… to size-class based root classifications based on function and … (2) dynamic root allocation 
and phenology as a function of root … of root turnover in models, including the role of root tissue …","EAH Smithwick, MS Lucash, ML McCormack…",Ecological …,2014,138,roots AND phenology,
"Above-and below-ground production, biomass and reproductive ecology of Thalassia testudinum (turtle grass) in a subtropical coastal lagoon",https://www.int-res.com/abstracts/meps/v193/p271-283/,"… : Above- and below-ground growth, biomass, phenology and … Rhlzome growth was 
seasonal, and area1 below-ground … with below-ground tissues accounting for 80 to 90 % of the …","JE Kaldy, KH Dunton",Marine Ecology Progress Series,2000,137,belowground AND phenology,
Plant functional types and ecological strategies in Patagonian forbs,https://onlinelibrary.wiley.com/doi/abs/10.2307/3235623,"… which stems originated, and maximum distance between two stems from the same belowground 
system. We determined phenological stages (French & Sauer 1974) for two years with a …","RA Golluscio, OE Sala",Journal of Vegetation Science,1993,137,belowground AND phenology,
Environmental influences on the phenology of pine,https://www.jstor.org/stable/20113132,"… Modeling the phenology of pines under current and altered … We have selected to review 
the phenology of six con trasting … More studies on root phenology, especially for trees in stand …","PM Dougherty, D Whitehead, JM Vose",Ecological Bulletins,1994,136,roots AND phenology,
Rhizosphere respiration varies with plant species and phenology: a greenhouse pot experiment,https://link.springer.com/article/10.1023/A:1014959701396,"… was significantly higher than that from amaranthus (Amaranthus hypochondriacus) roots … 
phenology. With the soil volume used in our pots, the overall percentages of cumulative root-…","S Fu, W Cheng, R Susfalk",Plant and Soil,2002,133,roots AND phenology,
"Relationships between phenology and the remobilization of nitrogen, phosphorus and potassium in branches of eight Mediterranean evergreens",https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2005.01477.x,"… branches in eight evergreen Mediterranean phanaerophytes that differ widely in phenology. 
… We should note that below-ground phenology was not monitored, and root growth might be …","R Milla, P Castro‐Díez, M Maestro‐Martínez…",New …,2005,133,roots AND phenology,
Asynchronicity in root and shoot phenology in grasses and woody plants,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2009.02065.x,"… is belowground, and is frequently dominated by grasses. We report root and shoot phenology 
… Although woody shoots are the current benchmark for phenology studies, the other three …","DF Steinaker, SD Wilson, DA Peltzer",Global Change Biology,2010,132,belowground AND phenology,
Phenology of hibernation and reproduction in ground squirrels: integration of environmental cues with endogenous programming,https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/jzo.12103,"… experienced by males while they are sequestered below ground, in some species (eg 
Richardson's, … spend below ground in a euthermic state prior to emergence is generally lacking. …","CT Williams, BM Barnes, GJ Kenagy…",Journal of …,2014,127,belowground AND phenology,
