Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm
Dynamics of above- and belowground responses of silver birch saplings and soil gases to soil freezing and waterlogging during dormancy.,https://doi.org/10.1093/treephys/tpab002,"Winter precipitation and soil freeze-thaw events have been predicted to increase in boreal regions with climate change. This may expose tree roots to waterlogging (WL) and soil freezing (Fr) more than in the current climate and therefore affect tree growth and survival. Using a whole-tree approach, we studied the responses of silver birch (Betula pendula Roth.) saplings, growing in mineral soil, to 6-week Fr and WL in factorial combinations during dormancy, with accompanying changes in soil gas concentrations. Physiological activation (dark-acclimated chlorophyll fluorescence and chlorophyll content index) and growth of leaves and shoot elongation and stem diameter growth started earlier in Fr than NoFr (soil not frozen). The starch content of leaves was temporarily higher in Fr than NoFr in the latter part of the growing season. Short and long root production and longevity decreased, and mortality increased by soil Fr, while there were no significant effects of WL. Increased fine root damage was followed by increased compensatory root growth. At the beginning of the growing season, stem sap flow increased fastest in Fr + WL, with some delay in both NoWL (without WL) treatments. At the end of the follow-up growing season, the hydraulic conductance and impedance loss factor of roots were higher in Fr than in NoFr, but there were no differences in above- and belowground biomasses. The concentration of soil carbon dioxide increased and methane decreased by soil Fr at the end of dormancy. At the beginning of the growing season, the concentration of nitrous oxide was higher in WL than in NoWL and higher in Fr than in NoFr. In general, soil Fr had more consistent effects on soil greenhouse gas concentrations than WL. To conclude, winter-time WL alone is not as harmful for roots as WL during the growing season.","Repo T, Domisch T, Roitto M, Kilpeläinen J, Wang AF, Piirainen S, Heiskanen J, Makita N, Lehto T, Sutinen S",Tree physiology,2021,,roots AND phenology AND fine roots AND growth
Prevalence and phenology of fine root endophyte colonization across populations of Lycopodiella inundata.,"https://doi.org/10.1007/s00572-020-00979-3
10.1093/nar/25.17.3389
10.1007/s00572-004-0292-7
10.1007/s00572-018-0863-7
10.1111/geb.12994
10.1007/s00572-004-0332-3
10.1007/s00572-004-0314-5
10.1104/pp.19.00729
10.1126/science.aam9970
10.1016/j.femsec.2005.04.011
10.1007/s00572-008-0165-6
10.1139/m75-151","Mycorrhizal fungi are critical components of terrestrial habitats and agroecosystems. Recently, Mucoromycotina fine root endophyte fungi (MucFRE) were found to engage in nutritional mutualism with Lycopodiella inundata, which belongs to one of the earliest vascular plant lineages known to associate with MucFRE. The extent to which this mutualism plays a role in resilient plant populations can only be understood by examining its occurrence rate and phenological patterns. To test for prevalence and seasonality in colonization, we examined 1305 individual L. inundata roots from 275 plants collected during spring and autumn 2019 across 11 semi-natural heathlands in Britain and the Netherlands. We quantified presence/absence of fine root endophyte (FRE) hyphae and vesicles and explored possible relationships between temperature and precipitation in the months immediately before sampling. Fine root endophyte hyphae were dominant in all of the examined heathlands, and every colonized root had FRE in both cortical cells and root hairs. However, we found significant differences in colonization between the two seasons at every site. Overall, 14% of L. inundata roots were colonized in spring (2.4% with vesicles) compared with 86% in autumn (7.6% with vesicles). Colonization levels between populations were also significantly different, correlating with temperature and precipitation, suggesting some local environments may be more conducive to root and related hyphal growth. These marked seasonal differences in host-plant colonization suggest that results about FRE from single time point collections should be carefully interpreted. Our findings are relevant to habitat restoration, species conservation plans, agricultural bio-inoculation treatments, and microbial diversity studies.","Kowal J, Arrigoni E, Serra J, Bidartondo M",Mycorrhiza,2020,,roots AND phenology AND fine roots AND growth
Climatic and physiological regulation of the bimodal xylem formation pattern in Pinus pinaster saplings.,https://doi.org/10.1093/treephys/tpz099,"Seasonality in tree cambial activity and xylem formation encompass large variation in environmental conditions. Abiotic stressors such as warming or drought also modulate plant behavior at species and individual level. Despite xylem formation susceptibility to carbon (C) and water availability, it is still unknown which are the key physiological variables that regulate xylogenesis, and to what extent plant performance contributes to further explain the number of cells in the different phases of xylem development. Xylogenesis and physiological behavior was monitored in saplings of Pinus pinaster Aiton, a bimodal growth pattern species, distributed in different irrigation regimes. Xylogenesis and plant physiological behavior were compared between treatments and the relationship between climate, physiology and the number of cells in the cambium, enlargement and cell-wall thickening phases was evaluated. Xylogenesis regulation shifted from physiological to climatic control as cell differentiation advanced to mature tracheids. The number of cells in the cambium increased with assimilation rates and decreased with the water potential gradient through the plant. Enlargement was the most susceptible phase to plant relative water content, whereas no physiological variable contributed to explain the number of cells in the wall thickening phase, which declined as temperatures increased. All treatments showed a bimodal growth pattern with a second growth period starting when primary growth was completed and after plants had experienced the highest summer hydraulic losses. Our study demonstrates the importance of including physiological responses and not only climate to fully understand xylogenesis, with special attention to the enlargement phase. This is critical when studying species with a bimodal growth pattern because the second growth peak responds to internal shifts of C allocation and may strongly depend on plant hydraulic responses and not on a fine tuning of cambial activity with soil water availability.","Garcia-Forner N, Vieira J, Nabais C, Carvalho A, Martínez-Vilalta J, Campelo F",Tree physiology,2019,,roots AND phenology AND fine roots AND growth
Dwelling in the deep - strongly increased root growth and rooting depth enhance plant interactions with thawing permafrost soil.,https://doi.org/10.1111/nph.15903,"Climate-warming-induced permafrost thaw exposes large amounts of carbon and nitrogen in soil at considerable depths, below the seasonally thawing active layer. The extent to which plant roots can reach and interact with these hitherto detached, deep carbon and nitrogen stores remains unknown. We aimed to quantify how permafrost thaw affects root dynamics across soil depths and plant functional types compared with above-ground abundance, and potential consequences for plant-soil interactions. A decade of experimental permafrost thaw strongly increased total root length and growth in the active layer, and deep roots invaded the newly thawed permafrost underneath. Root litter input to soil across all depths was 10 times greater with permafrost thaw. Root growth timing was unaffected by experimental permafrost thaw but peaked later in deeper soil, reflecting the seasonally receding thaw front. Deep-rooting species could sequester ","Blume-Werry G, Milbau A, Teuber LM, Johansson M, Dorrepaal E",The New phytologist,2019,,roots AND phenology AND fine roots AND growth
"Rapid temporal changes in root colonization by arbuscular mycorrhizal fungi and fine root endophytes, not dark septate endophytes, track plant activity and environment in an alpine ecosystem.",https://doi.org/10.1007/s00572-018-0863-7,"Fungal root endophytes play an important role in plant nutrition, helping plants acquire nutrients in exchange for photosynthates. We sought to characterize the progression of root colonization by arbuscular mycorrhizal fungi (AMF), dark septate endophytes (DSE), and fine root endophytes (FRE) over an alpine growing season, and to understand the role of the host plant and environment in driving colonization levels. We sampled four forbs on a regular schedule from June 26th-September 11th from a moist meadow (3535 m a.s.l) on Niwot Ridge, Rocky Mountain Front Range, CO, USA. We quantified the degree of root colonization by storage structures, exchange structures, and hyphae of all three groups of fungi. AMF and FRE percent colonization fluctuated significantly over time, while DSE did not. All AMF structures changed over time, and the degree of change in vesicles differed by plant species. FRE hyphae, AMF arbuscules and AMF vesicles peaked late in the season as plants produced seeds. AMF hyphae levels started high, decreased, and then increased within 20 days, highlighting the dynamic nature of plant-fungal interactions. Overall, our results show that AMF and FRE, not DSE, root colonization rapidly changes over the course of a growing season and these changes are driven by plant phenology and seasonal changes in the environment.","Bueno de Mesquita CP, Martinez Del Río CM, Suding KN, Schmidt SK",Mycorrhiza,2018,,roots AND phenology AND fine roots AND growth
To spend or to save? Assessing energetic growth-storage tradeoffs in native and invasive woody plants.,https://doi.org/10.1007/s00442-018-4177-4,"Many non-native woody plants invade low-light forest understories but differ from native species in leaf phenology and seasonality of photosynthesis. It is unknown whether such differences in assimilation patterns are due to contrasting strategies of energy allocation. In a group of native and invasive species in Eastern North America, we hypothesized that invaders employ a grow-first strategy, prioritizing allocation to new structural biomass over carbon storage compared to native congeners. We also hypothesized that species producing a single spring leaf flush exhibit a more conservative carbon storage strategy than species with continuous leaf production. We measured sugar and starch concentrations (non-structural carbohydrates; NSCs) in spring and fall in the stems and roots of 39 species of native and non-native shrubs in a common garden, and compared these to patterns of leaf production across species. Native species had higher soluble sugar concentrations than invaders, but invaders tended to store more root starch in spring. We found no difference in leaf production between natives and invaders. Determinate species had more soluble sugars than indeterminate species but had lower root starch. We found no relationship between aboveground productivity and carbon storage. Our results suggest that closely related species with contrasting evolutionary histories have different carbon storage strategies, although not necessarily in relation to their growth potential. The higher soluble sugar concentrations of native species may reflect their evolutionary response to historical disturbances, or different interactions with soil microbes, while increased spring root starch in invaders may support fine root or fruit production.","Hinman ED, Fridley JD",Oecologia,2018,,roots AND phenology AND fine roots AND growth
Stand development and other intrinsic factors largely control fine-root dynamics with only subtle modifications from resource availability.,https://doi.org/10.1093/treephys/tpy033,"Forest productivity depends on resource acquisition by ephemeral roots and leaves. A combination of intrinsic and environmental factors influences ephemeral organs; however, difficulties in studying belowground organs impede mechanistic understanding of fine-root production and turnover. To quantify factors controlling fine-root dynamics, we grew a deciduous hardwood (Populus deltoides Bartr.) and an evergreen conifer (Pinus taeda L.) with distinct soil moisture and nutrient availability treatments. We monitored fine-root dynamics with minirhizotrons for 6 years during early stand development and expressed results on a root length, biomass and mortality-risk basis. Stand development and other intrinsic factors consistently influenced both species in the same direction and by similar magnitude. Live-root length increased to a peak during establishment and slowly declined after roots of neighboring trees overlapped. Root longevity was highest during establishment and decreased thereafter. Root longevity consistently increased with depth of appearance and initial root diameter. Season of appearance affected root longevity in the following order: spring > summer > fall > winter. The influence of soil resource availability on fine-root dynamics was inconsistent between species, and ranked below that of rooting depth, initial diameter, stand development and phenology. Fine-root biomass either increased or was unaffected by greater resource availability. Fine-root production and live root length decreased with irrigation for both species, and increased with fertilization only for poplar. Fine-root mortality risk both increased and decreased depending on species and amendment treatment. Differing responses to soil moisture and nutrient availability between species suggests we should carefully evaluate generalizations about the response of fine-root dynamics to resource availability. While attempting to describe and explain carbon allocation to fine-root production and turnover, modelers and physiologists should first consider consistent patterns of allocation caused by different depth, diameter, stand development, phenology and species before considering allocation due to soil resource availability.","Coleman MD, Aubrey DP",Tree physiology,2018,,roots AND phenology AND fine roots AND growth
Phloem Girdling of Norway Spruce Alters Quantity and Quality of Wood Formation in Roots Particularly Under Drought.,"https://doi.org/10.3389/fpls.2018.00392
10.1016/S0378-1127(01)00661-2
10.1111/j.1365-2435.2007.01231.x
10.2307/2656758
10.1093/jxb/eru431
10.1046/j.1365-3040.2003.01053.x
10.1111/nph.14044
10.1051/forest:2006042
10.1093/treephys/tpn046
10.3389/fpls.2015.00547
10.1016/S0065-2504(08)60213-5
10.1007/978-94-015-7879-0
10.1080/11263500701626028
10.1093/aob/mcr068
10.1016/j.envexpbot.2009.11.012
10.1104/pp.15.01525
10.1515/hfsg.1994.48.6.447
10.1093/jxb/erq443
10.1007/s11104-012-1432-z
10.1093/treephys/tpq090
10.1016/0961-9534(96)00032-3
10.1111/j.1469-8137.2009.03030.x
10.1038/nature01387
10.1111/j.1365-2486.2008.01736.x
10.1016/j.foreco.2008.06.016
10.1071/FP08195
10.2307/2390260
10.1111/j.1365-3040.2009.01957.x
10.1111/nph.13646
10.1093/treephys/tpt088
10.1093/treephys/tpq003
10.1007/s004420100628
10.1038/NPLANTS.2016.111
10.1111/1365-2435.12046
10.1046/j.0016-8025.2003.01032.x
10.1038/35081058
10.1146/annurev.pp.24.060173.002511
10.1016/j.cub.2016.05.053
10.1007/s11104-017-3231-z
10.1073/pnas.94.14.7362
10.1016/S0098-8472(01)00077-6
10.1093/jxb/47.1.79
10.1046/j.1469-8137.2000.00692.x
10.1016/j.pbi.2016.06.007
10.1007/s00468-003-0263-1
10.1111/nph.14863
10.1111/gcb.12268
10.1007/s00442-014-3186-1
10.1111/j.1469-8137.2006.01775.x
10.1046/j.1365-313X.2001.01173.x
10.3389/fpls.2015.00285
10.1111/j.1469-8137.2009.03063.x
10.1007/s004680100089
10.1007/s00468-010-0471-4
10.1007/s10342-012-0652-3
10.1126/science.1089543
10.1093/treephys/tpq039
10.1111/j.1469-8137.2007.02079.x
10.1111/j.1365-2486.2005.001043.x
10.1093/jxb/erq438
10.1078/1433-8319-00007
10.2307/1940664
10.1007/BF02858959
10.1007/s10342-013-0777-z
10.1016/j.envexpbot.2017.03.004
10.1080/11263500701626069
10.3389/fpls.2013.00483
10.1016/j.foreco.2007.02.007
10.1111/j.1469-8137.2011.03952.x
10.1046/j.1469-8137.2000.00689.x
10.1016/S0378-1127(02)00134-2
10.1111/j.1365-3040.2009.02030.x
10.1055/s-2006-924084
10.1163/22941932-00000031
10.1078/1125-7865-00034
10.1007/s00468-008-0257-0
10.1093/treephys/tpt060
10.1093/treephys/tpr143
10.1016/j.foreco.2011.11.017
10.1046/j.1365-2435.2002.00626.x
10.1093/treephys/tpt075
10.1080/02827581.2003.10383133
10.1016/j.tplants.2015.03.015
10.1007/s00468-014-1026-x
10.1016/j.flora.2013.09.004
10.3117/plantroot.7.49
10.1093/jxb/41.6.631
10.2307/1310667
10.1007/s00344-003-0011-1
10.1093/jxb/erx342
10.1093/treephys/tpx077
10.1016/j.pbi.2013.11.003
10.1093/jxb/erj125",Carbon (C) availability plays an essential role in tree growth and wood formation. We evaluated the hypothesis that a decrease in C availability (i) triggers mobilization of C reserves in the coarse roots of ,"Rainer-Lethaus G, Oberhuber W",Frontiers in plant science,2018,,roots AND phenology AND fine roots AND growth
Prolonged Soil Frost Affects Hydraulics and Phenology of Apple Trees.,"https://doi.org/10.3389/fpls.2016.00867
10.1111/j.1365-2435.2007.01231.x
10.1093/treephys/22.17.1211
10.1093/treephys/24.7.785
10.1051/agro:19900407
10.1093/treephys/tpt096
10.1111/j.1365-3040.2008.01860
10.1093/treephys/tpv130
10.1093/treephys/tpv130
10.3389/fpls.2013.00108
10.1104/pp.110.162396
10.1111/j.1365-3040.2010.02127.x
10.1038/nature11688
10.1111/j.1469-8137.2011.03772.x
10.1111/pce.12216
10.1093/treephys/21.1.27
10.1093/jxb/48.3.655
10.1093/treephys/6.4.393
10.1111/nph.12798
10.1163/22941932-90000921
10.1093/treephys/21.15.1123
10.1093/treephys/26.1.105
10.1023/A:1013039830323
10.1093/treephys/4.1.71
10.1007/BF00330005
10.1104/pp.125.2.779
10.1104/pp.42.1.55
10.1093/jxb/ert090
10.1080/00221589.1967.11514205
10.2307/2657011
10.1104/pp.106.085704
10.1104/pp.114.236646
10.1016/j.plantsci.2010.12.011
10.1007/s00709-009-0052-9
10.1104/pp.105
10.1093/treephys/tps046
10.1093/treephys/tpt057
10.1093/treephys/25.8.1053
10.1093/treephys/28.10.1583
10.1111/j.1365-3040.2004.01211.x
10.1071/FP06149
10.1007/BF00202674
10.1111/j.1365-3040.2010.02259.x
10.1104/pp.112.200824
10.3389/fpls.2012.00107
10.1111/j.1365-3040.1988.tb01774.x
10.2307/2444104
10.3732/ajb.93.10.1490
10.1104/pp83.2.414
10.2307/1939633
10.1104/pp.100.2.605
10.1093/treephys/23.10.663
10.1023/A:1013072519889
10.1111/pce.12313
10.1080/03683621.1940.11513533
10.1104/pp.120.1.11
10.1007/s00344-003-0011-1
10.2307/2680206
10.1111/pce.12139
10.1111/j.1365-3040.2005.01330.x
10.1086/278634
10.1111/j.1365-3040.1992.tb01005.x
10.1016/j.tplants.2009.07.002","Restoration of an adequate water supply in spring is a prerequisite for survival of angiosperm trees in temperate regions. Trees must re-establish access to soil water and recover xylem functionality. We thus hypothesized that prolonged soil frost impairs recovery and affects hydraulics and phenology of Malus domestica var. 'Golden Delicious.' To test this hypothesis, over two consecutive winters the soil around some trees was insulated to prolong soil frosting, From mid-winter to early summer, the level of native embolism, the water and starch contents of wood, bark and buds were quantified at regular intervals and findings correlated with various phenological parameters, xylogenesis and fine root growth. The findings confirm that prolonged soil frost affects tree hydraulics and phenology but the severity of the effect depends on the climatic conditions. In both study years, percentage loss of hydraulic conductivity (PLC) decreased from about 70% at the end of winter to about 10% in May. Thereby, xylem refilling strongly coincided with a decrease of starch in wood and bark. Also treated trees were able to restore their hydraulic system by May but, in the warm spring of 2012, xylem refilling, the increases in water content and starch depolymerization were delayed. In contrast, in the cold spring of 2013 only small differences between control and treated trees were observed. Prolongation of soil frost also led to a delay in phenology, xylogenesis, and fine root growth. We conclude that reduced water uptake from frozen or cold soils impairs refilling and thus negatively impacts tree hydraulics and growth of apple trees in spring. Under unfavorable circumstances, this may cause severe winter damage or even dieback.","Beikircher B, Mittmann C, Mayr S",Frontiers in plant science,2016,,roots AND phenology AND fine roots AND growth
"Summer dormancy, drought survival and functional resource acquisition strategies in California perennial grasses.",https://doi.org/10.1093/aob/mcw109,"Evidence suggests drought severity is increasing due to climate change, but strategies promoting severe drought survival in perennial grasses have been seldom explored. This is particularly true of summer dormancy, an adaptation common in summer-dry Mediterranean-type climates. In addition, though theory predicts superior drought survival results in lower potential productivity, studies rarely measure both drought survival and growth under optimal conditions.
Physiological and functional ecological approaches were integrated to quantify interspecific variation in foliar and root traits in a suite of eight California perennial grass species. In a glasshouse experiment, summer dormancy, foliar functional trait variation, and seasonal growth and phenology under non-limiting water conditions and dehydration tolerance under progressive drought were quantified. In a second glasshouse study, root functional traits were quantified under non-limiting water conditions in rhizotrons.
Summer dormancy was associated with higher dehydration tolerance, and negatively associated with traits conferring dehydration avoidance. Species with greater summer dormancy were characterized by greater springtime productivity, earlier reproduction, and a shallow and fine root system, which are indicative of dehydration escape. Summer dormancy was associated with an acquisitive, competitive functional strategy in spring, and a conservative strategy in summer.
Both the escape and acquisitive springtime strategies observed in summer dormant perennial taxa are typically associated with annual grasses. California grasslands were once dominated by perennial species, but have been overtaken by non-native Mediterranean annual grasses, which are expected to be further favoured by climate change. Owing to functional similarity with these exotic annuals, it is suggested that native summer dormant taxa may play an important ecological role in the future of both natural and restored California grasslands.","Balachowski JA, Bristiel PM, Volaire FA",Annals of botany,2016,,roots AND phenology AND fine roots AND growth
Carbon Allocation into Different Fine-Root Classes of Young Abies alba Trees Is Affected More by Phenology than by Simulated Browsing.,"https://doi.org/10.1371/journal.pone.0154687
10.1002/ece3.665
10.1093/treephys/tpu018
10.1093/treephys/tpt093
10.1093/treephys/tpq110
10.1093/treephys/tpq090
10.1111/j.1365-3040.2009.02030.x
10.1111/j.1469-8137.2008.02420.x
10.1093/treephys/tpv024
10.1093/treephys/tps057
10.1111/j.1469-8137.2012.04120.x
10.1111/j.1469-8137.2011.03676.x
10.1093/treephys/tpr053
10.1111/j.1469-8137.2012.04180.x
10.1111/nph.12602
10.1371/journal.pone.0065502
10.1016/j.plantsci.2015.11.001
10.3389/fpls.2013.00272","Abies alba (European silver fir) was used to investigate possible effects of simulated browsing on C allocation belowground by 13CO2 pulse-labelling at spring, summer or autumn, and by harvesting the trees at the same time point of the labelling or at a later season for biomass and for 13C-allocation into the fine-root system. Before budburst in spring, the leader shoots and 50% of all lateral shoots of half of the investigated 5-year old Abies alba saplings were clipped to simulate browsing. At harvest, different fine-root classes were separated, and starch as an important storage compartment was analysed for concentrations. The phenology had a strong effect on the allocation of the 13C-label from shoots to roots. In spring, shoots did not supply the fine-roots with high amounts of the 13C-label, because the fine-roots contained less than 1% of the applied 13C. In summer and autumn, however, shoots allocated relatively high amounts of the 13C-label to the fine roots. The incorporation of the 13C-label as structural C or as starch into the roots is strongly dependent on the root type and the root diameter. In newly formed fine roots, 3-5% of the applied 13C was incorporated, whereas 1-3% in the ≤0.5 mm root class and 1-1.5% in the >0.5-1.0 mm root class were recorded. Highest 13C-enrichment in the starch was recorded in the newly formed fine roots in autumn. The clipping treatment had a significant positive effect on the amount of allocated 13C-label to the fine roots after the spring labelling, with high relative 13C-contents observed in the ≤0.5 mm and the >0.5-1.0 mm fine-root classes of clipped trees. No effects of the clipping were observed after summer and autumn labelling in the 13C-allocation patterns. Overall, our data imply that the season of C assimilation and, thus, the phenology of trees is the main determinant of the C allocation from shoots to roots and is clearly more important than browsing.","Endrulat T, Buchmann N, Brunner I",PloS one,2016,,roots AND phenology AND fine roots AND growth
"Impact of treated wastewater on growth, respiration and hydraulic conductivity of citrus root systems in light and heavy soils.",https://doi.org/10.1093/treephys/tpw013,"Roots interact with soil properties and irrigation water quality leading to changes in root growth, structure and function. We studied these interactions in an orchard and in lysimeters with clay and sandy loam soils. Minirhizotron imaging and manual sampling showed that root growth was three times lower in the clay relative to sandy loam soil. Treated wastewater (TWW) led to a large reduction in root growth with clay (45-55%) but not with sandy loam soil (<20%). Treated wastewater increased salt uptake, membrane leakage and proline content, and decreased root viability, carbohydrate content and osmotic potentials in the fine roots, especially in clay. These results provide evidence that TWW challenges and damages the root system. The phenology and physiology of root orders were studied in lysimeters. Soil type influenced diameter, specific root area, tissue density and cortex area similarly in all root orders, while TWW influenced these only in clay soil. Respiration rates were similar in both soils, and root hydraulic conductivity was severely reduced in clay soil. Treated wastewater increased respiration rate and reduced hydraulic conductivity of all root orders in clay but only of the lower root orders in sandy loam soil. Loss of hydraulic conductivity increased with root order in clay and clay irrigated with TWW. Respiration and hydraulic properties of all root orders were significantly affected by sodium-amended TWW in sandy loam soil. These changes in root order morphology, anatomy, physiology and hydraulic properties indicate rapid and major modifications of root systems in response to differences in soil type and water quality.","Paudel I, Cohen S, Shaviv A, Bar-Tal A, Bernstein N, Heuer B, Ephrath J",Tree physiology,2016,,roots AND phenology AND fine roots AND growth
"Changes in fine-root production, phenology and spatial distribution in response to N application in irrigated sweet cherry trees.","https://doi.org/10.1093/treephys/tpw002
10.1111/nph.13111
10.1016/j.agwat.2008.03.003
10.1093/treephys/tpt067
10.1007/s11104-005-0263-6
10.1111/j.1365-2435.2008.01403.x
10.1093/treephys/tpq078
10.1093/treephys/27.2.231
10.1016/j.scienta.2013.08.024
10.4067/S0718-16202012000100010
10.1046/j.1469-8137.2001.00128.x
10.1007/s004420000455
10.1046/j.1469-8137.2000.00679.x
10.1111/j.1469-8137.2005.01456.x
10.1093/treephys/10.3.245
10.1016/S0065-2504(08)60005-7
10.1046/j.1469-8137.2000.00686.x
10.17660/ActaHortic.2006.721.1
10.1016/j.foreco.2011.08.042
10.1016/j.foreco.2013.09.015
10.1071/FP08195
10.1007/s00468-007-0176-5
10.1046/j.1469-8137.2000.00681.x
10.1023/A:1015529507670
10.17660/ActaHortic.2008.795.31
10.1006/anbo.1995.1122
10.1111/j.1365-2745.2008.01385.x
10.1007/s11104-010-0348-8
10.1139/cjfr-30-2-220
10.1016/S0098-8472(01)00077-6
10.2136/sssaj1999.03615995006300010031x
10.1023/A:1004560311563
10.1046/j.1469-8137.2002.00393.x
10.1007/BF02370423
10.1046/j.1469-8137.1998.00264.x
10.1146/annurev.arplant.57.032905.105316
10.1093/treephys/21.14.1057
10.1111/j.1365-2486.2004.00733.x
10.1007/s11104-005-3104-8
10.3389/fpls.2014.00205
10.1890/13-1942.1
10.1093/treephys/tpq042
10.17660/ActaHortic.2006.713.23
10.1016/S0304-4238(02)00199-1
10.1046/j.1469-8137.2000.00677.x
10.2307/1939190
10.1007/s11104-012-1354-9
10.1007/s00442-006-0392-5
10.1111/j.1469-8137.1993.tb03905.x
10.1007/s004420050239
10.1046/j.1469-8137.2000.00689.x
10.1093/treephys/16.11-12.949
10.2136/sssaj2005.0117
10.1111/j.1365-2486.2009.02065.x
10.1046/j.1365-2486.2003.00622.x
10.1046/j.1365-2435.2002.00611.x
10.1016/S0065-2504(08)60122-1
10.1111/j.1469-8137.2004.01222.x
10.1890/0012-9658%282001%29082%5B0882%3AMDISAA%5D2.0.CO%3B2
10.1007/s00344-003-0011-1
10.3732/ajb.89.1.79
10.1371/journal.pone.0038883
10.1093/treephys/23.13.865","Factors regulating fine-root growth are poorly understood, particularly in fruit tree species. In this context, the effects of N addition on the temporal and spatial distribution of fine-root growth and on the fine-root turnover were assessed in irrigated sweet cherry trees. The influence of other exogenous and endogenous factors was also examined. The rhizotron technique was used to measure the length-based fine-root growth in trees fertilized at two N rates (0 and 60 kg ha(-1)), and the above-ground growth, leaf net assimilation, and air and soil variables were simultaneously monitored. N fertilization exerted a basal effect throughout the season, changing the magnitude, temporal patterns and spatial distribution of fine-root production and mortality. Specifically, N addition enhanced the total fine-root production by increasing rates and extending the production period. On average, N-fertilized trees had a length-based production that was 110-180% higher than in control trees, depending on growing season. Mortality was proportional to production, but turnover rates were inconsistently affected. Root production and mortality was homogeneously distributed in the soil profile of N-fertilized trees while control trees had 70-80% of the total fine-root production and mortality concentrated below 50 cm depth. Root mortality rates were associated with soil temperature and water content. In contrast, root production rates were primarily under endogenous control, specifically through source-sink relationships, which in turn were affected by N supply through changes in leaf photosynthetic level. Therefore, exogenous and endogenous factors interacted to control the fine-root dynamics of irrigated sweet cherry trees.","Artacho P, Bonomelli C",Tree physiology,2016,,roots AND phenology AND fine roots AND growth
The hidden season: growing season is 50% longer below than above ground along an arctic elevation gradient.,https://doi.org/10.1111/nph.13655,"There is compelling evidence from experiments and observations that climate warming prolongs the growing season in arctic regions. Until now, the start, peak, and end of the growing season, which are used to model influences of vegetation on biogeochemical cycles, were commonly quantified using above-ground phenological data. Yet, over 80% of the plant biomass in arctic regions can be below ground, and the timing of root growth affects biogeochemical processes by influencing plant water and nutrient uptake, soil carbon input and microbial activity. We measured timing of above- and below-ground production in three plant communities along an arctic elevation gradient over two growing seasons. Below-ground production peaked later in the season and was more temporally uniform than above-ground production. Most importantly, the growing season continued c. 50% longer below than above ground. Our results strongly suggest that traditional above-ground estimates of phenology in arctic regions, including remotely sensed information, are not as complete a representation of whole-plant production intensity or duration, as studies that include root phenology. We therefore argue for explicit consideration of root phenology in studies of carbon and nutrient cycling, in terrestrial biosphere models, and scenarios of how arctic ecosystems will respond to climate warming.","Blume-Werry G, Wilson SD, Kreyling J, Milbau A",The New phytologist,2015,,roots AND phenology AND fine roots AND growth
Seasonal changes in carbon and nitrogen compound concentrations in a Quercus petraea chronosequence.,https://doi.org/10.1093/treephys/tpu060,"Forest productivity declines with tree age. This decline may be due to changes in metabolic functions, resource availability and/or changes in resource allocation (between growth, reproduction and storage) with tree age. Carbon and nitrogen remobilization/storage processes are key to tree growth and survival. However, studies of the effects of tree age on these processes are scarce and have not yet considered seasonal carbon and nitrogen variations in situ. This study was carried out in a chronosequence of sessile oak (Quercus petraea Liebl.) for 1 year to survey the effects of tree age on the seasonal changes of carbon and nitrogen compounds in several tree compartments, focusing on key phenological stages. Our results highlight a general pattern of carbon and nitrogen function at all tree ages, with carbon reserve remobilization at budburst for growth, followed by carbon reserve formation during the leafy season and carbon reserve use during winter for maintenance. The variation in concentrations of nitrogen compounds shows less amplitude than that of carbon compounds. Storage as proteins occurs later, and mainly depends on leaf nitrogen remobilization and root uptake in autumn. We highlight several differences between tree age groups, in particular the loss of carbon storage function of fine and medium-sized roots with tree ageing. Moreover, the pattern of carbon compound accumulation in branches supports the hypothesis of a preferential allocation of carbon towards growth until the end of wood formation in juvenile trees, at the expense of the replenishment of carbon stores, while mature trees start allocating carbon to storage right after budburst. Our results demonstrate that at key phenological stages, physiological and developmental functions differ with tree age, and together with environmental conditions, influence the carbon and nitrogen concentration variations in sessile oaks.","Gilson A, Barthes L, Delpierre N, Dufrêne É, Fresneau C, Bazot S",Tree physiology,2014,,roots AND phenology AND fine roots AND growth
